k,clean_environ,health,counselling,school,media,clean_air
0.0000007018 ,0.224003764,0.043213325,0.039685706,0.299847558,0.090836172,0.193137104
-0.0000327083 ,0.075322661,0.090387194,0.070301151,0.225967984,0.070301151,0.271161581
-0.0000283826 ,0.12301463,0.089895306,0.052044651,0.132477294,0.085163974,0.227103932
0.0000616880 ,0.183393791,0.12971756,0.058149251,0.19233983,0.152082656,0.049203212
-0.0000782579 ,0.023455512,0.052774901,0.046911023,0.287330018,0.152460826,0.082094291
-0.0000279818 ,0.226627651,0.195151589,0.018885638,0.113313826,0.069247338,0.132199463
-0.0000129422 ,0.232136149,0.10881382,0.072542547,0.116068075,0.116068075,0.232136149
0.0001022839 ,0.34714176,0.104142528,0.089265024,0.218203392,0.104142528,0.178530048
-0.0000250474 ,0.12857416,0.057636692,0.057636692,0.177343669,0.146308527,0.097539018
0.0000619825 ,0.307846542,0.052773693,0.079160539,0.164184822,0.043978077,0.055705565
0.0000900107 ,0.180070869,0.041266241,0.090035435,0.180070869,0.10504134,0.157562011
-0.0000037647 ,0.138487691,0.051932884,0.069243846,0.238025719,0.112521249,0.168781874
0.0000655571 ,0.118457856,0.067126119,0.075023309,0.232967117,0.126355047,0.169789594
0.0000586270 ,0.048580091,0.092302174,0.102018192,0.252616475,0.165172311,0.213752402
-0.0000276748 ,0.264284474,0.094007229,0.072722573,0.113518163,0.085138622,0.150766311
-0.0000284313 ,0.236473516,0.134214698,0.102258818,0.287602925,0.102258818,0.038347057
0.0000302821 ,0.268182116,0.074429398,0.08388075,0.081517912,0.112234806,0.206748328
0.0000507899 ,0.363232442,0.101367193,0.088696294,0.15205079,0.071801762,0.067578129
0.0001007063 ,0.194512832,0.079020838,0.045588945,0.148923887,0.094217153,0.227944725
-0.0000140782 ,0.322734894,0.022468885,0.093960792,0.255328239,0.059236151,0.022468885
-0.0000125012 ,0.252506284,0.088718424,0.027297977,0.075069436,0.08189393,0.225208307
-0.0000044273 ,0.146408163,0.093452019,0.024920538,0.127717759,0.043610942,0.214939643
-0.0000014810 ,0.249416207,0.079083187,0.036499933,0.11558312,0.060833221,0.121666442
0.0000193637 ,0.107323886,0.091424051,0.111298845,0.218622731,0.198747938,0.071549258
-0.0000317381 ,0.187002126,0.095170725,0.050089855,0.1268943,0.111867343,0.213716715
0.0000294076 ,0.191626593,0.039308019,0.093356545,0.157232076,0.181799588,0.024567512
